urls_id	urls	urls_title	urls_visit_count	urls_typed_count	urls_last_visit_time	urls_hidden	visits_time	visits_from_visit	visits_duration	visits_transition
243	https://swapnalshahil.medium.com/b-tech-2nd-year-at-iit-guwahati-100706fcce3a?readmore=1&source=---------0----------------------------	Swapnal Shahil – Medium	1	0	13269207517002050	0	13269207517002050	0	0	805306368
244	https://swapnalshahil.medium.com/b-tech-2nd-year-at-iit-guwahati-100706fcce3a	B.Tech 2nd Year at IIT Guwahati. “From sophomore to junior” | by Swapnal Shahil | Jun, 2021 | Medium	4	0	13269493310239213	0	13269493310239213	0	0	805306368
245	https://m.facebook.com/?soft=composer	Facebook	1	0	13269246794888477	0	13269246794888477	0	0	805306368
246	https://m.facebook.com/swapnal.sahil.1?tsid=0.02693070124029373&source=result	Swapnal Shahil	1	0	13269246849772423	0	13269246849772423	0	0	805306368
247	https://m.facebook.com/profile.php?fref=nf	Text Bot	1	0	13269246887696767	0	13269246887696767	0	0	805306368
248	https://m.facebook.com/profile.php?lst=100068893845854%3A100068893845854%3A1624773288	Text Bot	4	0	13269246924356268	0	13269246924356268	0	0	822083584
249	https://m.facebook.com/profile/intro/edit/public/?refid=17	Edit profile	1	0	13269246911329551	0	13269246911329551	656	0	1610612736
250	https://m.facebook.com/profile.php?lst=100068893845854%3A100068893845854%3A1624773288&mds=%2Fprivacy%2Fselector%2Fdialog%2F%3Fcid%3DS%253A_I100068893845854%253A119222073717587%26ct%3D6%26nodeid%3Du_0_39_FL%26auto%3D1%26loc%3Dtimeline&mdf=1	Text Bot	1	0	13269246920511791	0	13269246920511791	0	0	805306368
251	https://swapnalshahil.medium.com/b-tech-2nd-year-at-iit-guwahati-100706fcce3a?source=---------0----------------------------	Swapnal Shahil – Medium	1	0	13269256901951233	0	13269256901951233	0	0	805306368
252	https://swapnalshahil.medium.com/google-summer-of-code-openmf-week-3-e7ac663e88e9?source=---------0----------------------------	Google Summer of Code: OpenMF Week 3 | by Swapnal Shahil | Jun, 2021 | Medium	2	0	13269265772940573	0	13269265772940573	675	0	805306368
253	https://swapnalshahil.medium.com/google-summer-of-code-openmf-week-3-e7ac663e88e9	Google Summer of Code: OpenMF Week 3 | by Swapnal Shahil | Jun, 2021 | Medium	3	0	13269279276042167	0	13269279276042167	675	0	805306376
